date,market_type,trend_strength,volatility_ratio,momentum_bias,market_type_score,rationale
2020-01-13 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-01-20 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 1.00 confidence
2020-02-03 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.93 confidence
2020-02-24 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 0.80 confidence
2020-03-23 09:30:00,trend_following,0,0,0,0,HMM detected trend_following regime with 0.93 confidence
2020-03-30 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-04-06 09:30:00,trend_following,0,0,0,0,HMM detected trend_following regime with 1.00 confidence
2020-04-13 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 0.55 confidence
2020-04-27 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-05-04 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 1.00 confidence
2020-05-11 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-05-25 09:30:00,trend_following,0,0,0,0,HMM detected trend_following regime with 1.00 confidence
2020-06-01 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-07-13 09:30:00,trend_following,0,0,0,0,HMM detected trend_following regime with 1.00 confidence
2020-07-20 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-08-03 09:30:00,trend_following,0,0,0,0,HMM detected trend_following regime with 1.00 confidence
2020-08-10 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 0.80 confidence
2020-08-17 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-08-31 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 0.80 confidence
2020-09-28 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.97 confidence
2020-10-05 09:30:00,trend_following,0,0,0,0,HMM detected trend_following regime with 0.80 confidence
2020-10-12 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.80 confidence
2020-11-02 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 1.00 confidence
2020-11-09 09:30:00,trend_following,0,0,0,0,HMM detected trend_following regime with 1.00 confidence
2020-11-16 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 1.00 confidence
2020-11-30 09:30:00,mean_reverting,0,0,0,0,HMM detected mean_reverting regime with 0.97 confidence
2020-12-07 09:30:00,neutral,0,0,0,0,HMM detected neutral regime with 0.70 confidence
